@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 {0,1,2,3}
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
938,'2017/02/24 11:30:41:217',11,10.613181,0,0,0,?,?,?
939,'2017/02/24 11:30:41:231',11,10.613181,0,0,0,?,?,?
940,'2017/02/24 11:30:41:247',11,10.017618,0,0,0,?,?,?
941,'2017/02/24 11:30:41:265',11,10.017618,0,0,0,?,?,?
942,'2017/02/24 11:30:41:280',11,10.017618,0,0,0,?,?,?
943,'2017/02/24 11:30:41:298',11,10.017618,0,0,0,?,?,?
944,'2017/02/24 11:30:41:315',11,9.758751,0,0,0,?,?,?
945,'2017/02/24 11:30:41:332',11,9.758751,0,0,0,?,?,?
946,'2017/02/24 11:30:41:347',11,9.758751,0,0,0,?,?,?
947,'2017/02/24 11:30:41:365',11,10.115455,0,0,0,?,?,?
948,'2017/02/24 11:30:41:380',11,10.115455,0,0,0,?,?,?
949,'2017/02/24 11:30:41:399',11,9.994802,0,0,0,?,?,?
950,'2017/02/24 11:30:41:415',11,9.994802,0,0,0,?,?,?
951,'2017/02/24 11:30:41:431',11,9.994802,0,0,0,?,?,?
952,'2017/02/24 11:30:41:448',11,9.994802,0,0,0,?,?,?
953,'2017/02/24 11:30:41:464',11,9.937668,0,0,0,?,?,?
954,'2017/02/24 11:30:41:481',11,9.937668,0,0,0,?,?,?
955,'2017/02/24 11:30:41:498',11,9.937668,0,0,0,?,?,?
956,'2017/02/24 11:30:41:517',11,9.660497,0,0,0,?,?,?
957,'2017/02/24 11:30:41:531',11,9.660497,0,0,0,?,?,?
958,'2017/02/24 11:30:41:548',11,10.630277,0,0,0,?,?,?
959,'2017/02/24 11:30:41:565',11,10.630277,0,0,0,?,?,?
960,'2017/02/24 11:30:41:582',11,10.630277,0,0,0,?,?,?
961,'2017/02/24 11:30:41:599',11,10.630277,0,0,0,?,?,?
962,'2017/02/24 11:30:41:616',11,11.68386,0,0,0,?,?,?
963,'2017/02/24 11:30:41:632',11,11.68386,0,0,0,?,?,?
964,'2017/02/24 11:30:41:649',11,11.68386,0,0,0,?,?,?
965,'2017/02/24 11:30:41:666',11,14.1825,0,0,0,?,?,?
966,'2017/02/24 11:30:41:682',11,14.1825,0,0,0,?,?,?
967,'2017/02/24 11:30:41:699',11,14.02629,0,0,0,?,?,?
968,'2017/02/24 11:30:41:716',11,14.02629,0,0,0,?,?,?
969,'2017/02/24 11:30:41:732',11,14.02629,0,0,0,?,?,?
970,'2017/02/24 11:30:41:748',11,14.02629,0,0,0,?,?,?
971,'2017/02/24 11:30:41:765',11,16.247982,0,0,0,?,?,?
972,'2017/02/24 11:30:41:782',11,16.247982,0,0,0,?,?,?
973,'2017/02/24 11:30:41:798',11,16.247982,0,0,0,?,?,?
974,'2017/02/24 11:30:41:816',11,16.491621,0,0,0,?,?,?
975,'2017/02/24 11:30:41:833',11,16.491621,0,0,0,?,?,?
976,'2017/02/24 11:30:41:850',11,17.168531,0,0,0,?,?,?
977,'2017/02/24 11:30:41:865',11,17.168531,0,0,0,?,?,?
978,'2017/02/24 11:30:41:882',11,17.168531,0,0,0,?,?,?
979,'2017/02/24 11:30:41:899',11,17.168531,0,0,0,?,?,?
980,'2017/02/24 11:30:41:917',11,17.458168,0,0,0,?,?,?
981,'2017/02/24 11:30:41:932',11,17.458168,0,0,0,?,?,?
982,'2017/02/24 11:30:41:950',11,17.458168,0,0,0,?,?,?
983,'2017/02/24 11:30:41:967',11,18.261574,0,0,0,?,?,?
984,'2017/02/24 11:30:41:983',11,18.261574,0,0,0,?,?,?
985,'2017/02/24 11:30:42:000',11,18.822514,0,0,0,?,?,?
986,'2017/02/24 11:30:42:016',11,18.822514,0,0,0,?,?,?
987,'2017/02/24 11:30:42:032',11,18.822514,0,0,0,?,?,?
988,'2017/02/24 11:30:42:050',11,18.822514,0,0,0,?,?,?
989,'2017/02/24 11:30:42:066',11,19.878294,0,0,0,?,?,?
990,'2017/02/24 11:30:42:083',11,19.878294,0,0,0,?,?,?
991,'2017/02/24 11:30:42:099',11,19.878294,0,0,0,?,?,?
992,'2017/02/24 11:30:42:117',11,20.398106,0,0,0,?,?,?
993,'2017/02/24 11:30:42:132',11,20.398106,0,0,0,?,?,?
994,'2017/02/24 11:30:42:152',11,20.991367,0,0,0,?,?,?
995,'2017/02/24 11:30:42:166',11,20.991367,0,0,0,?,?,?
996,'2017/02/24 11:30:42:183',11,20.991367,0,0,0,?,?,?
997,'2017/02/24 11:30:42:202',11,20.991367,0,0,0,?,?,?
998,'2017/02/24 11:30:42:219',11,21.186176,0,0,0,?,?,?
999,'2017/02/24 11:30:42:237',11,21.186176,0,0,0,?,?,?
1000,'2017/02/24 11:30:42:251',11,22.084009,0,0,0,?,?,?
1001,'2017/02/24 11:30:42:284',11,22.084009,0,0,0,?,?,?
1002,'2017/02/24 11:30:42:301',11,22.677666,0,0,0,?,?,?
1003,'2017/02/24 11:30:42:317',11,22.677666,0,0,0,?,?,?
1004,'2017/02/24 11:30:42:334',11,22.677666,0,0,0,?,?,?
1005,'2017/02/24 11:30:42:350',11,22.677666,0,0,0,?,?,?
